Date	Value
Mar 17, 2026	38.83
Mar 1, 2026	39.2
Feb 1, 2026	39.72
Jan 1, 2026	40.03
Dec 1, 2025	39.84
Nov 1, 2025	39.28
Oct 1, 2025	39.31
Sep 1, 2025	38.59
Aug 1, 2025	37.85
Jul 1, 2025	37.48
Jun 1, 2025	36.12
May 1, 2025	35.08
Apr 1, 2025	32.63
Mar 1, 2025	34.79
Feb 1, 2025	37.19
Jan 1, 2025	37.14
Dec 1, 2024	37.72
Nov 1, 2024	37.36
Oct 1, 2024	36.59
Sep 1, 2024	35.7
Aug 1, 2024	35.08
Jul 1, 2024	35.48
Jun 1, 2024	34.81
May 1, 2024	33.78
Apr 1, 2024	33.03
Mar 1, 2024	33.76
Feb 1, 2024	33.04
Jan 1, 2024	31.97
Dec 1, 2023	31.45
Nov 1, 2023	30.01
Oct 1, 2023	28.7
Sep 1, 2023	29.8
Aug 1, 2023	30.09
Jul 1, 2023	30.89
Jun 1, 2023	29.94
May 1, 2023	28.76
Apr 1, 2023	28.77
Mar 1, 2023	27.94
Feb 1, 2023	28.92
Jan 1, 2023	28.34
Dec 1, 2022	28.32
Nov 1, 2022	28.38
Oct 1, 2022	27.08
Sep 1, 2022	28.23
Aug 1, 2022	30.7
Jul 1, 2022	29
Jun 1, 2022	29.05
May 1, 2022	30.67
Apr 1, 2022	33.89
Mar 1, 2022	34.27
Feb 1, 2022	35.29
Jan 1, 2022	36.94
Dec 1, 2021	38.31
Nov 1, 2021	38.58
Oct 1, 2021	37.25
Sep 1, 2021	37.62
Aug 1, 2021	37.97
Jul 1, 2021	37.44
Jun 1, 2021	36.7
May 1, 2021	36.55
Apr 1, 2021	36.72
Mar 1, 2021	35.04
Feb 1, 2021	35.1
Jan 1, 2021	34.51
Dec 1, 2020	33.77
Nov 1, 2020	32.47
Oct 1, 2020	31.28
Sep 1, 2020	30.84
Aug 1, 2020	31.16
Jul 1, 2020	29.6
Jun 1, 2020	28.84
May 1, 2020	27.33
Apr 1, 2020	25.93
Mar 1, 2020	24.82
Feb 1, 2020	30.73
Jan 1, 2020	30.99
Dec 1, 2019	30.33
Nov 1, 2019	29.84
Oct 1, 2019	28.84
Sep 1, 2019	29.23
Aug 1, 2019	28.71
Jul 1, 2019	29.99
Jun 1, 2019	29.28
May 1, 2019	29.24
Apr 1, 2019	30.13
Mar 1, 2019	29.58
Feb 1, 2019	29.54
Jan 1, 2019	28.38
Dec 1, 2018	28.29
Nov 1, 2018	30.2
Oct 1, 2018	31.04
Sep 1, 2018	32.62
Aug 1, 2018	32.39
Jul 1, 2018	31.89
Jun 1, 2018	31.63
May 1, 2018	31.24
Apr 1, 2018	30.97
Mar 1, 2018	31.81
Feb 1, 2018	32.04
Jan 1, 2018	33.31
Dec 1, 2017	32.09
Nov 1, 2017	31.3
Oct 1, 2017	30.92
Sep 1, 2017	30.17
Aug 1, 2017	29.91
Jul 1, 2017	30
Jun 1, 2017	29.75
May 1, 2017	29.31
Apr 1, 2017	28.9
Mar 1, 2017	29.09
Feb 1, 2017	28.66
Jan 1, 2017	28.06
Dec 1, 2016	27.87
Nov 1, 2016	26.85
Oct 1, 2016	26.53
Sep 1, 2016	26.73
Aug 1, 2016	26.95
Jul 1, 2016	26.69
Jun 1, 2016	25.84
May 1, 2016	25.69
Apr 1, 2016	25.92
Mar 1, 2016	25.37
Feb 1, 2016	24
Jan 1, 2016	24.21
Dec 1, 2015	25.97
Nov 1, 2015	26.23
